author,degree,betweenness,eigenvector
"Li, Long",0.0014365387865472366,0.0011120438939113233,0.0001191250355580702
"Duan, Li",0.0005915159709312151,0.0,4.359227047909355e-05
"Zhao, Nan-Nan",0.0003380091262464086,0.0,8.114603490576828e-06
"Zhang, Yi",0.0010985296603008281,0.00021676666948364744,0.00014458606659645964
"Liu, Meng-Qi",0.0003380091262464086,0.0,8.11460349057683e-06
"Peng, Yin",0.0003380091262464086,0.0,8.11460349057683e-06
"Liu, Jin-Yun",0.0003380091262464086,0.0,8.11460349057683e-06
"Wang, Jiangpeng",0.00042251140780801076,0.0,3.7266363640058846e-06
"Fang, Yaoxun",0.00042251140780801076,0.0,3.7266363640058846e-06
"Zhang, Wenxuan",0.00042251140780801076,0.0,3.7266363640058846e-06
"Yu, Xuelian",0.00042251140780801076,0.0,3.7266363640058846e-06
"Wang, Lin",0.0025350684468480648,0.0032188320166888973,5.4662339453248835e-05
"Zhang, Yihe",0.0010985296603008281,0.0015041806928770642,1.1557899058675289e-05
"Liang, Yinghua",0.0007605205340544194,1.1757798556407243e-05,6.892635510303568e-05
"Shang, Rong",0.000507013689369613,0.0,1.7577284133875998e-05
"Lu, Jinrong",0.000507013689369613,0.0,1.7577284133875998e-05
"An, Weijia",0.0007605205340544194,1.1757798556407243e-05,6.892635510303568e-05
"Hu, Jinshan",0.0007605205340544194,1.1757798556407243e-05,6.892635510303568e-05
"Liu, Li",0.0012675342234240324,0.0006172913479386516,7.291176603125512e-05
"Cui, Wenquan",0.0007605205340544194,1.1757798556407243e-05,6.892635510303568e-05
"Zhu, Huihui",0.0003380091262464086,0.0,9.327469855476543e-06
"Yang, Xiaoju",0.0003380091262464086,0.0,9.327469855476543e-06
"Zhang, Min",0.004478620922764914,0.0035165223819526767,0.00016577254483009061
"Li, Qiuye",0.0003380091262464086,0.0,9.327469855476543e-06
"Yang, Jianjun",0.0003380091262464086,0.0,9.327469855476543e-06
"Wang, Zhongliao",0.000507013689369613,0.0,7.730027589757776e-05
"Zhang, Liuyang",0.0007605205340544194,8.914449312936097e-06,0.00010654300769154288
"Li, Youji",0.0014365387865472366,0.0023973623112769613,0.0003903019141770389
"Wageh, S.",0.0007605205340544194,1.7842899353061807e-05,9.953871226862427e-05
